Month,Payment,Principal Paid,Interest Paid,Balance,Rate,Strategy
20,5314.552607384835,2660.309284631936,2654.243322752899,954727.5938720371,3.35,Variable (Fixed Payment)
21,5314.552607384835,2667.6846735750282,2646.867933809807,952059.9091984621,3.35,Variable (Fixed Payment)
22,5314.552607384835,2675.080509900827,2639.472097484008,949384.8286885613,3.35,Variable (Fixed Payment)
23,5314.552607384835,2682.496850297254,2632.0557570875812,946702.3318382641,3.35,Variable (Fixed Payment)
24,5314.552607384835,2884.5517362082624,2430.0008711765727,943817.7801020559,3.1,Variable (Fixed Payment)
25,5314.552607384835,2891.9558198322343,2422.5967875526007,940925.8242822236,3.1,Variable (Fixed Payment)
26,5314.552607384835,2899.3789082997055,2415.1736990851296,938026.4453739239,3.1,Variable (Fixed Payment)
27,5314.552607384835,2906.8210503924147,2407.7315569924203,935119.6243235314,3.1,Variable (Fixed Payment)
28,5314.552607384835,2914.282295017314,2400.270312367521,932205.3420285141,3.1,Variable (Fixed Payment)
29,5314.552607384835,2921.762691206891,2392.789916177944,929283.5793373073,3.1,Variable (Fixed Payment)
30,5314.552607384835,2929.2622881194893,2385.2903192653457,926354.3170491877,3.1,Variable (Fixed Payment)
31,5314.552607384835,2936.781135039633,2377.771472345202,923417.5359141481,3.1,Variable (Fixed Payment)
32,5314.552607384835,2944.31928137835,2370.233326006485,920473.2166327698,3.1,Variable (Fixed Payment)
33,5314.552607384835,2951.876776673496,2362.675830711339,917521.3398560963,3.1,Variable (Fixed Payment)
34,5314.552607384835,2959.453670590081,2355.098936794754,914561.8861855062,3.1,Variable (Fixed Payment)
35,5314.552607384835,2967.050012920596,2347.502594464239,911594.8361725856,3.1,Variable (Fixed Payment)
36,5314.552607384835,2974.66585358534,2339.886753799495,908620.1703190003,3.1,Variable (Fixed Payment)
37,5314.552607384835,2982.301242632746,2332.251364752089,905637.8690763675,3.1,Variable (Fixed Payment)
38,5314.552607384835,2989.956230239713,2324.596377145122,902647.9128461278,3.1,Variable (Fixed Payment)
39,5314.552607384835,2997.630866711934,2316.9217406729013,899650.2819794158,3.1,Variable (Fixed Payment)
40,5314.552607384835,3005.3252024842263,2309.2274049006087,896644.9567769315,3.1,Variable (Fixed Payment)
41,5314.552607384835,3013.0392881208645,2301.5133192639705,893631.9174888107,3.1,Variable (Fixed Payment)
42,5314.552607384835,3020.7731743159115,2293.7794330689235,890611.1443144948,3.1,Variable (Fixed Payment)
43,5314.552607384835,3028.5269118935526,2286.0256954912825,887582.6174026013,3.1,Variable (Fixed Payment)
44,5314.552607384835,3036.3005518084274,2278.2520555764077,884546.3168507928,3.1,Variable (Fixed Payment)
45,5314.552607384835,3044.0941451459676,2270.4584622388675,881502.2227056469,3.1,Variable (Fixed Payment)
46,5314.552607384835,3051.90774312273,2262.644864262105,878450.3149625241,3.1,Variable (Fixed Payment)
47,5314.552607384835,3059.7413970867365,2254.8112102980986,875390.5735654373,3.1,Variable (Fixed Payment)
48,5314.552607384835,3067.5951585178072,2246.957448867028,872322.9784069195,3.1,Variable (Fixed Payment)
49,5314.552607384835,3075.4690790279014,2239.0835283569336,869247.5093278916,3.1,Variable (Fixed Payment)
50,5314.552607384835,3083.363210361457,2231.189397023378,866164.1461175302,3.1,Variable (Fixed Payment)
51,5314.552607384835,3091.2776043957288,2223.2750029891063,863072.8685131344,3.1,Variable (Fixed Payment)
52,5314.552607384835,3099.2123131411317,2215.3402942437033,859973.6561999933,3.1,Variable (Fixed Payment)
53,5314.552607384835,3107.16738874158,2207.385218643255,856866.4888112517,3.1,Variable (Fixed Payment)
54,5314.552607384835,3115.1428834748317,2199.4097239100033,853751.3459277769,3.1,Variable (Fixed Payment)
55,5314.552607384835,3123.1388497528324,2191.4137576320027,850628.207078024,3.1,Variable (Fixed Payment)
56,5314.552607384835,3131.155340122058,2183.397267262777,847497.051737902,3.1,Variable (Fixed Payment)
57,5314.552607384835,3139.1924072638612,2175.360200120974,844357.8593306381,3.1,Variable (Fixed Payment)
58,5314.552607384835,3147.250103994818,2167.302503390017,841210.6092266432,3.1,Variable (Fixed Payment)
59,5314.552607384835,3155.3284832670734,2159.2241241177617,838055.2807433761,3.1,Variable (Fixed Payment)
60,5314.552607384835,3163.4275981686906,2151.1250092161445,834891.8531452074,3.1,Variable (Fixed Payment)
1,5314.552607384835,1926.7095843731854,3387.8430230116496,998073.2904156268,4.1000000000000005,Variable (Recalc Payment)
2,5314.552607384835,1933.2369739959736,3381.3156333888614,996140.0534416309,4.1000000000000005,Variable (Recalc Payment)
3,5314.552607384835,1939.7864773901538,3374.7661299946813,994200.2669642407,4.1000000000000005,Variable (Recalc Payment)
4,5314.552607384835,1946.3581694737127,3368.1944379111223,992253.908794767,4.1000000000000005,Variable (Recalc Payment)
5,5314.552607384835,1952.952125418446,3361.600481966389,990300.9566693485,4.1000000000000005,Variable (Recalc Payment)
6,5181.0154126756515,2028.987998297589,3152.0274143780625,988271.968671051,3.85,Variable (Recalc Payment)
7,5181.015412675651,2035.44606112284,3145.5693515528105,986236.5226099282,3.85,Variable (Recalc Payment)
8,5181.015412675651,2041.924679306473,3139.0907333691775,984194.5979306217,3.85,Variable (Recalc Payment)
9,5181.0154126756515,2048.423918274106,3132.5914944015453,982146.1740123476,3.85,Variable (Recalc Payment)
10,5181.0154126756515,2054.9438436596006,3126.071569016051,980091.230168688,3.85,Variable (Recalc Payment)
11,5181.015412675651,2061.484521305724,3119.530891369927,978029.7456473822,3.85,Variable (Recalc Payment)
12,5051.405274018328,2139.0826883039254,2912.3225857144025,975890.6629590783,3.6000000000000005,Variable (Recalc Payment)
13,5051.405274018328,2145.452329772994,2905.952944245334,973745.2106293053,3.6000000000000005,Variable (Recalc Payment)
14,5051.405274018328,2151.840938406196,2899.564335612132,971593.3696908992,3.6000000000000005,Variable (Recalc Payment)
15,5051.405274018328,2158.2485706828984,2893.1567033354295,969435.1211202162,3.6000000000000005,Variable (Recalc Payment)
16,5051.405274018328,2164.675283250649,2886.729990767679,967270.4458369656,3.6000000000000005,Variable (Recalc Payment)
17,5051.405274018328,2171.1211329256766,2880.284141092651,965099.3247040398,3.6000000000000005,Variable (Recalc Payment)
18,4925.714984177272,2250.092668558936,2675.6223156183355,962849.2320354809,3.35,Variable (Recalc Payment)
19,4925.714984177272,2256.330781053784,2669.3842031234876,960592.9012544272,3.35,Variable (Recalc Payment)
20,4925.714984177272,2262.586187968565,2663.1287962087067,958330.3150664585,3.35,Variable (Recalc Payment)
21,4925.714984177271,2268.8589372499864,2656.8560469272843,956061.4561292086,3.35,Variable (Recalc Payment)
22,4925.714984177272,2275.149076977686,2650.5659071995856,953786.3070522309,3.35,Variable (Recalc Payment)
23,4925.714984177272,2281.4566553645914,2644.2583288126802,951504.8503968663,3.35,Variable (Recalc Payment)
24,4803.929633237293,2361.6016304072214,2442.328002830072,949143.2487664591,3.1,Variable (Recalc Payment)
25,4803.929633237293,2367.66340275769,2436.266230479603,946775.5853637013,3.1,Variable (Recalc Payment)
26,4803.929633237292,2373.740734499529,2430.1888987377633,944401.8446292018,3.1,Variable (Recalc Payment)
27,4803.929633237292,2379.833665570672,2424.0959676666203,942022.0109636311,3.1,Variable (Recalc Payment)
28,4803.929633237292,2385.9422360115655,2417.987397225727,939636.0687276195,3.1,Variable (Recalc Payment)
29,4803.9296332372915,2392.0664859654307,2411.8631472718607,937244.0022416541,3.1,Variable (Recalc Payment)
30,4803.929633237292,2398.2064556785317,2405.7231775587607,934845.7957859755,3.1,Variable (Recalc Payment)
31,4803.929633237292,2404.362185500433,2399.5674477368593,932441.4336004751,3.1,Variable (Recalc Payment)
32,4803.9296332372915,2410.53371588427,2393.3959173530216,930030.8998845908,3.1,Variable (Recalc Payment)
33,4803.929633237292,2416.7210873870167,2387.2085458502756,927614.1787972037,3.1,Variable (Recalc Payment)
34,4803.9296332372915,2422.9243406697433,2381.005292567548,925191.2544565339,3.1,Variable (Recalc Payment)
35,4803.9296332372915,2429.143516497894,2374.7861167393976,922762.110940036,3.1,Variable (Recalc Payment)
36,4803.9296332372915,2435.3786557415474,2368.550977495744,920326.7322842944,3.1,Variable (Recalc Payment)
37,4803.929633237291,2441.629799375687,2362.2998338616035,917885.1024849188,3.1,Variable (Recalc Payment)
38,4803.929633237291,2447.8969884804746,2356.032644756816,915437.2054964383,3.1,Variable (Recalc Payment)
39,4803.929633237291,2454.180264241513,2349.7493689957773,912983.0252321968,3.1,Variable (Recalc Payment)
40,4803.929633237291,2460.4796679501223,2343.449965287168,910522.5455642467,3.1,Variable (Recalc Payment)
41,4803.9296332372915,2466.7952410036105,2337.134392233681,908055.7503232431,3.1,Variable (Recalc Payment)
42,4803.9296332372915,2473.12702490554,2330.8026083317513,905582.6232983376,3.1,Variable (Recalc Payment)
43,4803.929633237292,2479.475061266011,2324.4545719712814,903103.1482370716,3.1,Variable (Recalc Payment)
44,4803.9296332372915,2485.8393918019215,2318.09024143537,900617.3088452696,3.1,Variable (Recalc Payment)
45,4803.9296332372915,2492.2200583372564,2311.709574900035,898125.0887869324,3.1,Variable (Recalc Payment)
46,4803.929633237291,2498.617102803348,2305.3125304339424,895626.4716841291,3.1,Variable (Recalc Payment)
47,4803.9296332372915,2505.030567239165,2298.8990659981264,893121.4411168899,3.1,Variable (Recalc Payment)
48,4803.9296332372915,2511.4604937915747,2292.469139445717,890609.9806230983,3.1,Variable (Recalc Payment)
49,4803.9296332372915,2517.9069247156317,2286.0227085216598,888092.0736983827,3.1,Variable (Recalc Payment)
50,4803.9296332372915,2524.36990237485,2279.5597308624415,885567.7037960079,3.1,Variable (Recalc Payment)
51,4803.929633237291,2530.8494692414815,2273.080163995809,883036.8543267664,3.1,Variable (Recalc Payment)
52,4803.9296332372915,2537.3456678967996,2266.583965340492,880499.5086588697,3.1,Variable (Recalc Payment)
53,4803.9296332372915,2543.858541031371,2260.0710922059206,877955.6501178383,3.1,Variable (Recalc Payment)
54,4803.9296332372915,2550.388131445343,2253.5415017919486,875405.2619863929,3.1,Variable (Recalc Payment)
55,4803.929633237292,2556.934482048724,2246.9951511885683,872848.3275043442,3.1,Variable (Recalc Payment)
56,4803.9296332372915,2563.497635861659,2240.4319973756324,870284.8298684825,3.1,Variable (Recalc Payment)
57,4803.929633237292,2570.077636014725,2233.851997222567,867714.7522324679,3.1,Variable (Recalc Payment)
58,4803.9296332372915,2576.674525749199,2227.2551074880926,865138.0777067187,3.1,Variable (Recalc Payment)
59,4803.929633237292,2583.2883484173567,2220.6412848199357,862554.7893583013,3.1,Variable (Recalc Payment)
60,4803.929633237292,2589.9191474827453,2214.010485754547,859964.8702108186,3.1,Variable (Recalc Payment)
1,5284.667520195235,1941.8994018581213,3342.768118337114,998058.1005981419,4.045,50/50 Split
