Strategy,Total Payments,Total Interest,Total Principal Paid,Ending Balance,Equity Built ($),Equity Built (%),Average Rate (%),Min Rate (%),Max Rate (%)
Full Fixed,306215.11431056284,171516.13486923152,134698.9794413314,865301.0205586685,134698.97944133147,13.469897944133146,3.673999999999999,3.2,3.9899999999999998
Variable (Fixed Payment),318873.1564430902,153765.00958829783,165108.14685479229,834891.8531452074,165108.1468547926,16.51081468547926,3.3333333333333335,3.1,4.1000000000000005
Variable (Recalc Payment),295266.9734919315,155231.84370275013,140035.12978918134,859964.8702108186,140035.1297891814,14.00351297891814,3.3333333333333335,3.1,4.1000000000000005
50/50 Split,312544.1353768265,162640.57222876465,149903.56314806186,850096.436851938,149903.56314806198,14.990356314806197,3.5036666666666667,3.15,4.045
