Strategy,Total Payments,Total Interest,Total Principal Paid,Ending Balance,Equity Built ($),Equity Built (%),Average Rate (%),Min Rate (%),Max Rate (%)
Full Fixed,113536.31394689511,75707.63918476448,37828.67476213064,634171.3252378695,37828.67476213048,5.629267077697989,3.8899999999999983,3.8899999999999997,3.8899999999999997
Variable (Fixed Payment),116410.46327734436,67758.79668508665,48651.66659225774,623348.3334077423,48651.66659225768,7.239831338133583,3.4888888888888885,3.1,4.1000000000000005
Variable (Recalc Payment),108408.4019347963,68009.13844733269,40399.26348746363,631600.7365125368,40399.263487463235,6.011795161824886,3.4888888888888885,3.1,4.1000000000000005
50/50 Split,114973.38861211974,71733.21793492557,43240.1706771942,628759.8293228059,43240.17067719414,6.434549207915794,3.689444444444445,3.495,3.995
