Month,Payment,Principal Paid,Interest Paid,Balance,Rate,Strategy
1,3153.786498524865,992.8336249212948,2160.95287360357,671007.1663750787,3.8899999999999997,Full Fixed
2,3153.786498524865,996.0262836635329,2157.760214861332,670011.1400914151,3.8899999999999997,Full Fixed
3,3153.786498524865,999.2292090502406,2154.557289474624,669011.910882365,3.8899999999999997,Full Fixed
4,3153.786498524865,1002.4424340959035,2151.3440644289612,668009.4684482691,3.8899999999999997,Full Fixed
5,3153.786498524865,1005.6659919211738,2148.120506603691,667003.8024563479,3.8899999999999997,Full Fixed
6,3153.786498524865,1008.8999157532089,2144.886582771656,665994.9025405947,3.8899999999999997,Full Fixed
7,3153.786498524865,1012.1442389260142,2141.6422595988506,664982.7583016687,3.8899999999999997,Full Fixed
8,3153.786498524865,1015.3989948807889,2138.387503644076,663967.3593067878,3.8899999999999997,Full Fixed
9,3153.786498524865,1018.6642171662679,2135.122281358597,662948.6950896216,3.8899999999999997,Full Fixed
10,3153.786498524865,1021.9399394390693,2131.8465590857954,661926.7551501825,3.8899999999999997,Full Fixed
11,3153.786498524865,1025.2261954640412,2128.5603030608236,660901.5289547185,3.8899999999999997,Full Fixed
12,3153.786498524865,1028.5230191146088,2125.263479410256,659873.0059356039,3.8899999999999997,Full Fixed
13,3153.786498524865,1031.8304443731258,2121.956054151739,658841.1754912308,3.8899999999999997,Full Fixed
14,3153.786498524865,1035.1485053312203,2118.6379931936444,657806.0269858995,3.8899999999999997,Full Fixed
15,3153.786498524865,1038.4772361901519,2115.309262334713,656767.5497497094,3.8899999999999997,Full Fixed
16,3153.786498524865,1041.8166712611592,2111.9698272637056,655725.7330784482,3.8899999999999997,Full Fixed
17,3153.786498524865,1045.1668449658168,2108.619653559048,654680.5662334824,3.8899999999999997,Full Fixed
18,3153.786498524865,1048.5277918363881,2105.2587066884767,653632.038441646,3.8899999999999997,Full Fixed
19,3153.786498524865,1051.8995465161834,2101.8869520086814,652580.1388951299,3.8899999999999997,Full Fixed
20,3153.786498524865,1055.2821437599127,2098.504354764952,651524.85675137,3.8899999999999997,Full Fixed
