Strategy,Total Payments,Total Interest,Total Principal Paid,Ending Balance,Equity Built ($),Equity Built (%),Average Rate (%),Min Rate (%),Max Rate (%)
Full Fixed,127123.69661927235,76940.5246813863,50183.17193788603,621816.8280621143,50183.171937885694,7.467733919328229,3.99,3.9899999999999998,3.9899999999999998
Variable (Fixed Payment),128569.65667785391,67162.41113222213,61407.24554563179,610592.754454368,61407.24554563197,9.137982968099996,3.4888888888888885,3.1,4.1000000000000005
Variable (Recalc Payment),120941.62906172691,67401.193156773,53540.435904953934,618459.5640950463,53540.435904953745,7.967326771570497,3.4888888888888885,3.1,4.1000000000000005
50/50 Split,127846.6766485631,72051.4679068042,55795.20874175891,616204.7912582412,55795.208741758834,8.302858443714111,3.7394444444444437,3.545,4.045
