Strategy,Total Payments,Total Interest,Total Principal Paid,Ending Balance,Equity Built ($),Equity Built (%),Average Rate (%),Min Rate (%),Max Rate (%)
Full Fixed,127123.69661927235,76940.5246813863,50183.17193788603,621816.8280621143,50183.171937885694,7.467733919328229,3.99,3.9899999999999998,3.9899999999999998
Variable (Fixed Payment),128569.65667785391,74766.03270972487,53803.62396812907,618196.3760318711,53803.62396812893,8.006491661923947,3.8777777777777778,3.6000000000000005,4.1000000000000005
Variable (Recalc Payment),125784.63221228018,74854.827179635,50929.80503264522,621070.194967355,50929.805032645,7.578840034619792,3.8777777777777778,3.6000000000000005,4.1000000000000005
50/50 Split,127846.6766485631,75853.27869555556,51993.397953007545,620006.6020469926,51993.39795300737,7.737112790626097,3.9338888888888874,3.795,4.045
