Month,Payment,Principal Paid,Interest Paid,Balance,Rate,Strategy
21,3571.379352162609,1385.3586721322854,2186.0206800303235,643869.0599009702,4.1000000000000005,Variable (Fixed Payment)
22,3571.379352162609,1390.0520498440374,2181.3273023185716,642479.0078511261,4.1000000000000005,Variable (Fixed Payment)
23,3571.379352162609,1394.7613279827242,2176.6180241798847,641084.2465231434,4.1000000000000005,Variable (Fixed Payment)
24,3571.379352162609,1399.4865604164975,2171.8927917461115,639684.7599627269,4.1000000000000005,Variable (Fixed Payment)
25,3571.379352162609,1404.227801196003,2167.151550966606,638280.5321615308,4.1000000000000005,Variable (Fixed Payment)
26,3571.379352162609,1408.985104555004,2162.394247607605,636871.5470569758,4.1000000000000005,Variable (Fixed Payment)
27,3571.379352162609,1413.758524910998,2157.620827251611,635457.7885320648,4.1000000000000005,Variable (Fixed Payment)
28,3571.379352162609,1418.5481168658412,2152.8312352967678,634039.240415199,4.1000000000000005,Variable (Fixed Payment)
29,3571.379352162609,1423.3539352063713,2148.0254169562377,632615.8864799925,4.1000000000000005,Variable (Fixed Payment)
30,3571.379352162609,1428.1760349050364,2143.2033172575725,631187.7104450875,4.1000000000000005,Variable (Fixed Payment)
31,3571.379352162609,1433.0144711205216,2138.3648810420873,629754.695973967,4.1000000000000005,Variable (Fixed Payment)
32,3571.379352162609,1437.8692991983821,2133.510052964227,628316.8266747686,4.1000000000000005,Variable (Fixed Payment)
33,3571.379352162609,1442.740574671674,2128.638777490935,626874.0861000969,4.1000000000000005,Variable (Fixed Payment)
34,3571.379352162609,1447.6283532615912,2123.7509989010177,625426.4577468353,4.1000000000000005,Variable (Fixed Payment)
35,3571.379352162609,1452.5326908781026,2118.8466612845064,623973.9250559572,4.1000000000000005,Variable (Fixed Payment)
36,3571.379352162609,1457.4536436205904,2113.9257085420186,622516.4714123366,4.1000000000000005,Variable (Fixed Payment)
1,3571.379352162609,1294.7488406987804,2276.6305114638285,670705.2511593013,4.1000000000000005,Variable (Recalc Payment)
2,3571.379352162609,1299.135246525294,2272.244105637315,669406.115912776,4.1000000000000005,Variable (Recalc Payment)
3,3571.379352162609,1303.536512806183,2267.842839356426,668102.5793999698,4.1000000000000005,Variable (Recalc Payment)
4,3571.379352162609,1307.9526898863346,2263.4266622762743,666794.6267100835,4.1000000000000005,Variable (Recalc Payment)
5,3571.379352162609,1312.3838282811953,2258.9955238814136,665482.2428818023,4.1000000000000005,Variable (Recalc Payment)
6,3571.379352162609,1316.829978677351,2254.549373485258,664165.4129031249,4.1000000000000005,Variable (Recalc Payment)
7,3571.379352162609,1321.291191933106,2250.088160229503,662844.1217111918,4.1000000000000005,Variable (Recalc Payment)
8,3571.379352162609,1325.7675190790628,2245.611833083546,661518.3541921128,4.1000000000000005,Variable (Recalc Payment)
9,3571.379352162609,1330.2590113187102,2241.1203408438987,660188.0951807941,4.1000000000000005,Variable (Recalc Payment)
10,3571.379352162609,1334.7657200290046,2236.6136321336044,658853.3294607651,4.1000000000000005,Variable (Recalc Payment)
11,3571.379352162609,1339.28769676096,2232.091655401649,657514.0417640042,4.1000000000000005,Variable (Recalc Payment)
12,3571.379352162609,1343.8249932402368,2227.554358922372,656170.216770764,4.1000000000000005,Variable (Recalc Payment)
13,3571.379352162609,1348.3776613677346,2223.0016907948743,654821.8391093962,4.1000000000000005,Variable (Recalc Payment)
14,3571.379352162609,1352.945753220184,2218.433598942425,653468.893356176,4.1000000000000005,Variable (Recalc Payment)
15,3571.379352162609,1357.5293210507443,2213.8500311118646,652111.3640351252,4.1000000000000005,Variable (Recalc Payment)
16,3571.379352162609,1362.1284172895998,2209.250934873009,650749.2356178357,4.1000000000000005,Variable (Recalc Payment)
17,3571.379352162609,1366.7430945445603,2204.6362576180486,649382.4925232911,4.1000000000000005,Variable (Recalc Payment)
18,3571.379352162609,1371.3734056016624,2200.0059465609465,648011.1191176894,4.1000000000000005,Variable (Recalc Payment)
19,3571.379352162609,1376.0194034257738,2195.359948736835,646635.0997142637,4.1000000000000005,Variable (Recalc Payment)
20,3571.379352162609,1380.6811411611984,2190.6982110014105,645254.4185731024,4.1000000000000005,Variable (Recalc Payment)
21,3571.379352162609,1385.3586721322854,2186.0206800303235,643869.0599009702,4.1000000000000005,Variable (Recalc Payment)
22,3571.379352162609,1390.0520498440374,2181.3273023185716,642479.0078511261,4.1000000000000005,Variable (Recalc Payment)
23,3571.379352162609,1394.7613279827242,2176.6180241798847,641084.2465231434,4.1000000000000005,Variable (Recalc Payment)
24,3571.379352162609,1399.4865604164975,2171.8927917461115,639684.7599627269,4.1000000000000005,Variable (Recalc Payment)
25,3571.379352162609,1404.227801196003,2167.151550966606,638280.5321615308,4.1000000000000005,Variable (Recalc Payment)
26,3571.379352162609,1408.985104555004,2162.394247607605,636871.5470569758,4.1000000000000005,Variable (Recalc Payment)
27,3571.379352162609,1413.758524910998,2157.620827251611,635457.7885320648,4.1000000000000005,Variable (Recalc Payment)
28,3571.379352162609,1418.5481168658412,2152.8312352967678,634039.240415199,4.1000000000000005,Variable (Recalc Payment)
29,3571.379352162609,1423.3539352063713,2148.0254169562377,632615.8864799925,4.1000000000000005,Variable (Recalc Payment)
30,3571.379352162609,1428.1760349050364,2143.2033172575725,631187.7104450875,4.1000000000000005,Variable (Recalc Payment)
31,3571.379352162609,1433.0144711205216,2138.3648810420873,629754.695973967,4.1000000000000005,Variable (Recalc Payment)
32,3571.379352162609,1437.8692991983821,2133.510052964227,628316.8266747686,4.1000000000000005,Variable (Recalc Payment)
33,3571.379352162609,1442.740574671674,2128.638777490935,626874.0861000969,4.1000000000000005,Variable (Recalc Payment)
34,3571.379352162609,1447.6283532615912,2123.7509989010177,625426.4577468353,4.1000000000000005,Variable (Recalc Payment)
35,3571.379352162609,1452.5326908781026,2118.8466612845064,623973.9250559572,4.1000000000000005,Variable (Recalc Payment)
36,3571.379352162609,1457.4536436205904,2113.9257085420186,622516.4714123366,4.1000000000000005,Variable (Recalc Payment)
1,3533.1387512188385,1314.3470586851395,2218.7916925336995,670685.6529413149,3.995,50/50 Split
2,3533.1387512188385,1318.6850479665907,2214.453703252248,669366.9678933483,3.995,50/50 Split
3,3533.1387512188385,1323.0373644726487,2210.1013867461897,668043.9305288757,3.995,50/50 Split
4,3533.1387512188385,1327.4040555544568,2205.734695664382,666716.5264733211,3.995,50/50 Split
5,3533.1387512188385,1331.785168719759,2201.3535824990795,665384.7413046013,3.995,50/50 Split
6,3533.1387512188385,1336.1807516334172,2196.9579995854215,664048.560552968,3.995,50/50 Split
7,3533.1387512188385,1340.590852117933,2192.547899100906,662707.9697008501,3.995,50/50 Split
8,3533.1387512188385,1345.0155181539672,2188.123233064872,661362.9541826961,3.995,50/50 Split
