Strategy,Total Payments,Total Interest,Total Principal Paid,Ending Balance,Equity Built ($),Equity Built (%),Average Rate (%),Min Rate (%),Max Rate (%)
Full Fixed,125816.33340990247,74990.7159498907,50825.61746001176,621174.3825399879,50825.61746001209,7.563335931549417,3.8899999999999983,3.8899999999999997,3.8899999999999997
Variable (Fixed Payment),128569.65667785391,79086.1280901906,49483.52858766335,622516.4714123366,49483.52858766343,7.3636203255451536,4.1,4.1000000000000005,4.1000000000000005
Variable (Recalc Payment),128569.65667785391,79086.1280901906,49483.52858766335,622516.4714123366,49483.52858766343,7.3636203255451536,4.1,4.1000000000000005,4.1000000000000005
50/50 Split,127192.99504387818,77038.42202004066,50154.57302383755,621845.4269761622,50154.57302383776,7.463478128547285,3.9950000000000006,3.995,3.995
